Movie Rank,Movie Name,Release Year,IMdB Rating,Cast
58,Django Unchained,2012,8.4,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
,,,,
59,Joker,2019,8.4,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
,,,,
60,The Lives of Others,2006,8.4,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
,,,,
61,Paths of Glory,1957,8.4,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
,,,,
62,WALL·E,2008,8.4,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
,,,,
63,The Shining,1980,8.4,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
,,,,
64,Avengers: Infinity War,2018,8.4,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
,,,,
65,Sunset Blvd.,1950,8.4,"Billy Wilder (dir.), William Holden, Gloria Swanson"
,,,,
66,Witness for the Prosecution,1957,8.4,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
,,,,
67,Spider-Man: Into the Spider-Verse,2018,8.4,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
,,,,
68,Mononoke-hime,1997,8.4,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
,,,,
69,Oldeuboi,2003,8.4,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo"
,,,,
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
,,,,
71,The Dark Knight Rises,2012,8.3,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
,,,,
72,Once Upon a Time in America,1984,8.3,"Sergio Leone (dir.), Robert De Niro, James Woods"
,,,,
73,Aliens,1986,8.3,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
,,,,
74,Avengers: Endgame,2019,8.3,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
,,,,
75,Kimi no na wa.,2016,8.3,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
,,,,
76,Coco,2017,8.3,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
,,,,
77,American Beauty,1999,8.3,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
,,,,
78,Braveheart,1995,8.3,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
,,,,
79,3 Idiots,2009,8.3,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
,,,,
80,Das Boot,1981,8.3,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
,,,,
81,Toy Story,1995,8.3,"John Lasseter (dir.), Tom Hanks, Tim Allen"
,,,,
82,Tengoku to jigoku,1963,8.3,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
,,,,
83,Amadeus,1984,8.3,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
,,,,
84,Taare Zameen Par,2007,8.3,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
,,,,
85,Capharnaüm,2018,8.3,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
,,,,
86,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
,,,,
87,Inglourious Basterds,2009,8.3,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
,,,,
88,Reservoir Dogs,1992,8.3,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
,,,,
89,Good Will Hunting,1997,8.3,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
,,,,
90,2001: A Space Odyssey,1968,8.3,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
,,,,
91,Requiem for a Dream,2000,8.3,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
,,,,
92,Vertigo,1958,8.3,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
,,,,
93,M - Eine Stadt sucht einen Mörder,1931,8.3,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
,,,,
94,Dangal,2016,8.3,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
,,,,
95,Eternal Sunshine of the Spotless Mind,2004,8.3,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
,,,,
96,Jagten,2012,8.3,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
,,,,
97,1917,2019,8.3,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
,,,,
98,Citizen Kane,1941,8.3,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
,,,,
99,Full Metal Jacket,1987,8.2,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
,,,,
100,Ladri di biciclette,1948,8.2,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
,,,,
101,The Kid,1921,8.2,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
,,,,
102,A Clockwork Orange,1971,8.2,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
,,,,
103,Singin' in the Rain,1952,8.2,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
,,,,
104,North by Northwest,1959,8.2,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
,,,,
